cobissId	title_en	description_en	country	publisher	year	topology	journal	journal_impact_factor	journal_mean_value
1002120	Lactobacillus K7 - a new candidate for a probiotic strain	Lactobacillus K7 is an isolate from faeces of a 1 week old breast-fed baby that has been previously found to exhibit bacteriocin-like activity against various species of lactic acid bacteria and Clostridium sp. In this study partial identification of the strain K7 was done and some basic properties that are desirable for probiotic bacteria were studied: resistance to low pH, to bile salts and bacteriocin production. The effect of bacteriocins of the strain K7 against C. perfringens and C. difficile vegetative cells and againstC. tyrobutyricum vegetative cells and spores was also examined. On the basis of morphological characteristics, API 50 CHL (BioMerieux) fermentation pattern and analysis of S-layer, the strain K7 was identified as a member of L. acidophilus DNA homology group B (Johnson et al., 1980). The strain K7 was able to grow in the presence of 0.3 % of bile salts. The cfu/ml during 2 hours incubation at pH 2 was reduced for 2 log units, whilst at pH 3 almost no reduction was observed. Bacteriocins were produced during the logaritmic phase of growth. In flask MRS broth culture and in fermentor with regulated pH (pH=6), the bacteriocin concentration reached 32.000 BA/ml and 160.000 BA/ml, respectively. Minimal inhibitory concentrations (MIC) of bacteriocins of Lactobacillus K7 for C. tyrobutyricum vegetative cells were 640-2.560 BA/ml, depending on the strain tested. The sensitivity of the spores was higher than of vegetative cells and MIC varied between bacterial strains as well (1.280Þ5.120 BA/ml).	hrv	Faculty of Food Technology and Biotechnology	2000	1.01	Food technology and biotechnology	0.291	0.734
1002376	Lactoprotein genetic variants in cattle and cheese making ability	Cheese making ability of milk is associated with high contents of protein, casein, (CN) and fat, high casein number, short rennet coagulation time (RCT),high curd firmness (CF) and with a high cheese yield. For the four CN loci, as well as for the beta- lactoglobulin (LG) - and alfa-lactalbumin (LA) locus, more than 60 genetic variants have been observed. However, most of these variants have not yet been investigated with regard to their cheese making ability. In Holstein Frisian cows k-CN BB is associated with a higher protein and casein content of milk than k-CN AA. However, in Simmentals and in Brown Cattle this association is not so clear; a higher fat content of milk seems to be related to beta-LG BB when compared with beta-LG AA. In many publications beta-LG BB also showed a higher casein content than beta-LG AA. All publications referring to the casein number report that milk containing beta-LG BB has an approximately 3 % (absolute) higher casein number than milk containing beta-LG AA. Regarding the genotypes alfa s1-CN BC and CC contradictory results for the RCT and CF values have been published when compared with alfas1-CN BB milk. Beta-CN BB showed in all publications the shortest RCT among all beta-CN genotypes, whereas the reported results for CF of this genotype compared with the types A[up]1A[up]1 or A[up]2A[up]2 are conflicting. From the majority of the published data it may be concluded that milk containig k-CN BB has significantly shorter RCT and higher CF than k-CN AA milk. All rare genotypes at the k-CN locus, such as AC, BC, AE, BE and EE, had worse RCT values than k-CN BB milk. CF of k-cn genotypes increases in the order AE/AA<AB/AB/AC<BC/BB. In most investigations involving Parmiggiano-Reggiano, Cheddar and other cheese varieties higer yields of cheese were found, ranging from 0.3 to 10 %, in favour of k-CN BB compared with k-CN AA. Due to the higher casein number associated with beta-LG BB, higher yields of cheese were reported in literature (range 1 to 10 %) for thisgenotype than for beta-LG AA. In summary, k-CN B and beta-LG B are the most advantageous variants with respect to cheese making ability. However, in most publications attentions was focused on the effects of a single milk protein locus but due to the tight linkage between the casein loci effects of haplotypes should be studied more extensively.	hrv	Faculty of Food Technology and Biotechnology	2000	1.02	Food technology and biotechnology	0.291	0.734
10024726	Characterisation of grass fibres	The elementary grass fibres were isolated from different grass and legumes sorts, i.e. Ryegrass (Lolium hybridum Gumpenstein), Wheat straw, Trefoil (Trifolium pratense) and Lucerne (Medicago sativa). The fibre-samples were obtained in a bio-refinery, after the liquid phase containing proteins and lactic acid was eliminated from the ensiled and green grasses, respectively. For the isolation of elementary grass fibres different processes were used. The morphological characteristics of stems and leaves of different grass species were microscopically observed. On the microscopical stem and leaves cross-section samples the quantification of fibres sclerenchyma cells was performed. The quantitative analysis was carried out in order to obtain basic quantitative data on grass fibres, such as area of the single fibre or group of fibres, diameter of a single fibre or group of fibres and distances betweenthe most distant and least distant points on the area of the fibre. Measurements were made using a Carl Zeiss software KS 300, which runs on a computer connected to the image analysis equipment consisting of a microscope and a digital camera. In addition to, geometrical and mechanical properties ofisolated fibres and fibre bundles were determined. Due to the grass history,i.e. deformations and damages caused by the treatment of grasses in the bio-refinery, maturity grade, grass or legumes type and conditions during grass growth, the plant structures vary considerable in their properties.	nld	Chapman and Hall	2005	1.01	Journal of Materials Science	0.901	1.429
10025494	Electrokinetic properties of commercial vascular grafts	The surface morphology and chemical composition (the presence or absence of surface functional groups) of commercial vascular graftsæ surfaces are significant for their interaction abilities with components of polar liquids. This can also be assumed as correct for grafts-blood interactions. In this paper we studied the adsorption characteristics of different graftsæ surfaces using an electrokinetic measurement technique. A comparative study was performed on woven, knitted polyethylene terephthalate (PET) and polytetrafluoroethylene (PTFE) vascular grafts. Streaming potential measurements were used for the determination of zeta potential (Ž), which was studied as a function of electrolyte solutionsæ pH and surfactant concentration (using standard cationic surfactants i.e. N-CP-Cl, N-DP-Cl) in order to obtain information about critical charge reversal concentration (CRC). The analysed surface morphology and some physical properties were correlated with the electrokinetic properties of different grafts, and studiedregarding their adsorption characteristics. The SEM images of graft surfaces show that woven PET has more densely packed and more-ordered structure than knitted PET. The PTFE surface exhibits a typical micro-porous structure for a tubular membrane. The strong dependence of zeta potential can be observed from the exposure time to the electrolyte solution. The Ž-pH functions (pH of electrolyte solution) show significant differences between different grafts. Small differences in molecular masses between both surfactants applied cause clear differences in the adsorption behaviours of the arterial grafts.	nld	Elsevier	2006	1.01	Colloids and surfaces	1.611	2.525
10025499	Robust design of flank milling parameters based on grey-Taguchi method	The robust design of flank milling parameters is dealing with the optimization of the cutting loads, milled surface roughness and the material removal rate (MRR) in the machining of an Al-alloy casting plate for injection moulds. The considered flank milling parameters include the coolant employment, number of end mill flutes, cutting speed, feed per tooth, axial depth of cut, and radial depth of cut. Grey-Taguchi method is combining the orthogonal array (OA) design of experiments (DOE) with grey-relational analysis (GRA), which enables the determination of the optimal combination of flank milling parameters for multiple process responses. The basic idea of GRAis to find a grey-relational grade (GRG), which can be used for the optimization conversion from a multi-objective case to a single-objective case. GRG is also used to estimate the parameter effects on the overall performance response.	nld	Elsevier	2007	1.01	Journal of materials processing technology	0.816	0.656
1002632	Gene technology and milk production	The introduction of gene technology to the practice of animal breeding has opened new venues as we enter the 21st century. Using DNA based genotyping thenew genetic variants of milk protein genes were identified and basic regulatory mechanisms of the lactoprotein gene expression were discovered. Genomic and cDNA sequences for all major lactoprotein genes were deposited in the GenBank and comprehensive analysis of these data revealed the molecular baasis of some quantitative effects which have been reported to be associated with particular genetic variants. In addition, comprehensive analysis of the animal genome enabled chromosomal localization of candidate regions bearing quantitative trait loci with effects on milk traits. The possibility to assessmaternal and paternal in heritance of desired lactoprotein alleles can be utilised for efficient selection of desiredhaplotypes. Beside the possibility to change the milk composition through selection of favourable lactoprotein alleles, there is also the chance to manipulate milk composition via metabolic pathways, which regulate fat and carbohydrate synthesis. Reduction of the amount of saturated fatty acids and lactose in bovine milk are two interesting tasks for the future in order to adapt bovine milk to the requirements of modern human nutrition and to make bovine milk acceptable for special groups of consumers. Finally, the availabiblity of recombinant growth hormone induced new technologies of milk production based on prolonged lactation with high persistance of milk yield.	hrv	Faculty of Food Technology and Biotechnology	2000	1.02	Food technology and biotechnology	0.291	0.734
10027798	Phase equilibira of permethrin and dicofol with carbon dioxide	The solubilities of pesticides (permethrin and dicofol) in CO2 were measured by a static-analytic method at pressures ranging from 10.0 MPa to 25.0 MPa andtemperatures of 293.2 K, 303.2 K, and 313.2 K. Due to the nonconventional shape of some solubility isotherms, solid-liquid transitions of pesticides under pressure of CO2 were determined using a modified capillary method. Sincethe solubilities depend on solvent density, the experimental binary solid-fluid equilibrium data were correlated as a function of solvent density by two different models.	nld	American Chemical Society	2005	1.01	Journal of chemical and engineering data	1.610	0.922
10040347	Thickness optimization of circular annular plate at buckling	This work deals with thickness optimization of a circular annular plate at buckling. The plate is loaded with uniform, axially symmetric, in-plane loads on the inner and outer edge. The variable thickness of the plate is approximated by a function of radial coordinates and design variables. An optimization problem is defined to find optimal sets of design variables which/maximize buckling loads at constant weight/volume of the plate. The required buckling loads are determined according to the standard linear buckling equations, and the material is modelled by the small strain J2 flow and deformation theories of plasticity where an elastic linear hardening rheological model is considered. Optimal thickness functions are determined for different support and load cases and the numerical results show that buckling loads can be increased significantly.	gbr	Elsevier	2006	1.01	Thin-walled structures	0.694	0.599
10041627	Chaordic systems thinking for novelty in contemporary manufacturing	The paper describes a framework for novelty creation, based in complexity, andhow it enables the management for novelty in manufacturing systems. The paperæs central thesis is that complexity should not be eliminated but nurtured. The human role is focused on. The paper evaluates how the creation of novelty is recognized in existing MS approaches such as Collaborative Design, Complexity, Emergent Synthesis, and Networked Organizations. A complexity framework is proposed to develop a chaordic manufacturing system.	che	Technische Rundschau;Hallwag Verlag;Colibri	2007	1.01	CIRP annals	0.779	0.656
10049819	Oxy-hydrogen flame for cutting of steels	The paper deals with oxy-hydrogen cutting of steel plates. The first part deals with calculation of the combustion efficiency of an oxy-hydrogen flame. A device for supply of a hydrogen-oxygen mixture is described. The main part of the paper is focused on oxy-hydrogen cutting and its advantages. The main conclusions show that the cut surface is flat and very smooth, the heat-affected zone is very narrow, and the cutting speed is relatively high.	hrv	Metalurški fakultet;Hrvatsko metalurško društvo	2007	1.01	Metalurgija	0.196	0.661
10050075	Analysis of lack of fusion in welds at water heaters	The paper treats a weld discontinuity called lack of fusion, which is frequently a cause of leakage of a water heater. The heater was produced by MAG welding using two wires (twin arc welding). The paper states some reasons for the occurrence of lack of fusion, i.e. the arc blow effect, an inappropriate gun position, uncontrolled movement of the weld pool, too low energy input, an improper joint preparation. The defect is illustrated in a macrograph of a weld produced at the water heater with twin wires in a shielding gas. Welding with twin wires is schematically represented with a circumferential welded joint between the end and shell of the water heater.	hrv	Metalurški fakultet;Hrvatsko metalurško društvo	2007	1.01	Metalurgija	0.196	0.661
10051606	Comparison of the esterification of fructose and palmitic acid in organic solvent and supercritical carbon dioxide	Sugar fatty acid esters are nonionic surfactants, which are used for personal care products, cosmetic applications, and as emulsifiers for food. In recent years, enzymatic synthesis of sugar fatty acid esters is attracting keen attention as a new manufacturing method for future application. Reaction parameters of lipase-catalyzed synthesis of fructose fatty acid esters in organic solvent were optimized in a batch reactor at atmospheric pressure. Optimum conditions for reaction performed in organic solvent at atmospheric pressure were 10% (wžw of substrates) of lipase from Candida antarctica B, 12.14% (wžw of reaction mixture) of molecular sieves at 60 C, and stirring rate of 600 rpm. Esterification of fructose and palmitic acid was performed insupercritical carbon dioxide with and without addition of cosolvent (organicsolvent) at 60 C. Effect of pressure on enzyme activity was studied.	usa	American Chemical Society	2005	1.01	Industrial & engineering chemistry research	1.504	0.922
10051862	Enzymatic reactions in high-pressure membrane reactors	In the studies on the stability of biocatalysts in a high-pressure batch stirred tank reactor, changes in biocatalyst activity due to pressurizationždepressurization steps were observed. An interesting alternative to overcome this inconvenience is using the high-pressure continuous membrane reactors, where just a single compression and expansion step is necessary. The aim of the research was to carry out the enzyme-catalyzed reactions in high-pressure membrane reactors. At first, high-pressure enzyme-catalyzed hydrolyses of oleyl oleate and sunflower oil were performed in a high-pressure continuous enzymatic flat-shape membrane reactor. Additionally, cellulase from Humicola insolens was covalently immobilized on tubular membrane, and enzyme-catalyzed hydrolysis of carboxy-methyl cellulose was carried out in a high-pressure continuous enzymatic tubular membrane reactor. The membrane-stability tests for flat-shape polysulfon membranes before and after treatment with supercritical CO2 or subcritical propane were done, as well.	usa	American Chemical Society	2005	1.01	Industrial & engineering chemistry research	1.504	0.922
10055708	The influence of a family on ethical behaviour of a family enterprise	Family enterprises are defined as a special type of enterprises. The involvement of a family in the enterprise is what makes these enterprises unique. The research presented in the paper aims to broaden our knowledge about the influence of a family on the ethical behaviour of a family enterprise. The case study research methodology was applied to explore the influence of a family on the constitutional elements of the enterprise ethical behaviour. The pre-designed questionnaire was used in conducting face-to-face interviews with 28 managers who were in most cases also owners of the studied enterprises.	hun	Bp. Tech Polytech. Inst.	2009	1.01	Acta polytechnica Hungarica	0.284	0.826
10062102	Ultraprimeness of the Lorentz algebra	We solve the problem of finding the best possible constant of ultraprimeness for the special class of Euclidean algebra called Lorentz algebra. More precisely, we prove that for Lorentz algebra, equipped with spectral norm, thebest possible constant of ultraprimeness is 1/2 regardless of dimension.	deu	Springer	2005	1.01	Manuscripta mathematica	0.384	0.559
10062363	Experimental determination of transient wall temperature distributions close to growing vapor bubbles	Experiments were performed to study the spatio-temporal temperature variation underneath growing bubbles on a thin platinum heating foil in saturated and subcooled nucleate pool boiling of water at atmospheric pressure. The transient wall temperature distributions were recorded with spatial resolutionof 40 m by a high-speed infrared camera at intervals of 1 ms, synchronised with a high-speed video camera to record bubble motion. Examples are presented of the transient distributions of wall temperature, heat flux and heat transfer coefficient underneath bubbles growing with the fast and slow bubble detachment mechanisms in saturated and subcooled pool boiling. Comments are made on the evidence for and against particular mechanisms of heat transfer.	gbr	Springer	2009	1.01	Heat and mass transfer	0.786	1.335
10071324	Demand models for direct mail and periodicals delivery services	This article examines the demand for services of the Slovenian national postal operator for the direct mail and periodicals market and separately for the direct mail market. The main factors of the demand are found to be various price indicators with respect to individual market, two income series and the variable of economic environment. The results of our empirical analysis suggest that the price elasticity of demand on both markets is below zero. The autonomy in price increases is limited due to positive cross-price elasticity of demand for direct mail with regard to price fluctuations for TV commercials. Substitution effects on the direct mail market are even more evident with regard to price fluctuations for advertisements in magazines and daily papers. An additional finding is that the demand on both markets varies seasonally in all models estimated by us. Finally, coefficients of income elasticity of demand for direct mail services show that the total number of mail deliveries on the direct mail market increases faster than the retail revenue in real terms.	gbr	Chapman and Hall	2011	1.01	Applied economics	0.459	1.032
10077468	Ethical preferences for influencing superiors	With a 41-society sample of 9990 managers and professionals, we used hierarchical linear modeling to investigate the impact of both macro-level andmicro-level predictors on subordinate influence ethics. While we found that both macro-level and micro-level predictors contributed to the model definition, we also found global agreement for a subordinate influence ethics hierarchy. Thus our findings provide evidence that developing a global model of subordinate ethics is possible, and should be based upon multiple criteria and multilevel variables.	gbr	Academy of International Business and Rutgers Graduate School of Business Administration at Newark, N.J.	2009	1.01	Journal of international business studies	3.766	1.673
100781	Effect of land use and fish stocking on a mauntain lake-evidence from the sediment	Forging, associated with clear-cutting influenced the lake since the very beginning but the most destructive influence had introduction of fish in 1951. A change in zooplankton community started at that time and was enhanced after hotel reconstruction in mid 80s. The result is highly eutropic lake eith permanent depletion of oxigen below 5m and low Secchi-disc depth. Prevalence of small-bodied zooplankton Crustacea, with Eubosmina as the most abaundant species, is characteristic for the present situation. Diatom species, Stephanodiscus parvus, an indicator of eutrophication, is very common, too.	hrv	Hrvatsko prirodoslovno društvo	2000	1.01	Periodicum biologorum	0.213	1.778
10080283	A beam-deflection probe as a method for optodynamic measurements of cavitation bubble oscillations	High-intensity light from a laser pulse can produce laser-induced breakdown in a liquid followed by a shock wave and the growth of a cavitation bubble. When the bubble reaches its maximum radius, the pressure of the surrounding liquid causes it to collapseè this results in bubble oscillations. The cavitation bubble's oscillations and the corresponding shock waves were measured from the deflections of a laser beam. These deflections were detected using a fast quadrant photodiode, built into the optical probe. The precise relative-positioning system and the small diameter of the beamæs waistmade it possible to detect and analyse the signals from the shock wave and the cavitation bubble. Here, we have demonstrated that a method based on abeam-deflection probe can be used to measure the fast phenomena that follow immediately after laser-induced breakdown as well as the whole dynamics of the bubble oscillations, which corresponds to a three-orders-of-magnitude larger time scale.	gbr	IOP Publishing	2007	1.01	Measurement science & technology	1.297	0.771
10081051	Ugotavljanje in vrednotenje potreb kupcev v postopku razvoja izdelka	Today's companies are facing new challenges: global business and local operation, the standardization and individualization of products, and demanding customers and fierce competition. This paper presents the phases ofquality functions deployment (QFD) during a new-product development process along with the method for obtaining, structuring and evaluating customer needs. A full description of the information resources for obtaining the data on customer needs is given, and the methods for obtaining, structuring and evaluating the data on customer needs are presented. The QFD process of new-product development is described. We present the results of testing the proposed methodology, taking into account the voice of the customer, in the process of developing a new Vario Flow product in a company that produces and sells medical equipment on domestic and foreign markets.	svn	Zveza strojnih inženirjev in tehnikov Slovenije [et al.] = Association of Mechanical Engineers and Technicians of Slovenia [et al.]	2007	1.01	Strojniški vestnik	0.088	0.706
10081307	Izboljšanje termodinamiènih lastnosti hladilnih stolpov na naravni vlek	The velocity and temperature fields above droplet eliminators inside a natural-draft cooling tower of the Doel-3 powerplant (Belgium) were determined using the CTP (Cooling Tower Profiler) method. The measurements show regions of high velocities and low temperatures of air at the cooling tower circumference, leading to locally impaired heat and mass transfer. The established phenomenological relations enable the solution of this problem, which can be achieved by a variation of the fill height and the water mass-flow rate. The influence of these two parameters was analysed numerically. A 3D numerical simulation of a single-phase turbulent airflow wasperformed. Local values of the air velocity and air temperature were included in the numerical model through source terms. The numerical results present the analysis of local irregularities and their influence on the overall cooling-tower characteristics. Experimental and numerical results for the velocity and temperature fields in a cooling toweræs transverse section are presented, followed by a procedure for reducing irregularities in the cooling toweræs operation. This procedure includes the increase of the fill height and the rearrangement of the local cooling-water mass-flow rate in the cooling toweræs transverse section. In the numerical model these two parameters were modelled by a local modification of the source terms. Modifiedsource terms of the model lead to more uniform aero-thermodynamic properties in the tower and consequently to a higher cooling-tower efficiency. The paper presents a complete diagnostic method of local anomalies, based on the case of a representative Doel-3 cooling tower. The method is based on experimental and numerical modelling of the transport phenomena inside the cooling tower. It makes it possible to increase the efficiency of the cooling toweræs operation. The calculated mean heat-flux density was increased by 2.8% in this particular case.	svn	Zveza strojnih inženirjev in tehnikov Slovenije [et al.] = Association of Mechanical Engineers and Technicians of Slovenia [et al.]	2007	1.01	Strojniški vestnik	0.088	0.706
10081819	Comments on the cold metal forming processes stability control	Nowadays different components must be produced in very narrow tolerances, the number of non-satisfying ones is limited to some tens parts per million, the final goal is oriented towards zero-defect production. To fulfil these preconditions the forming processes must be well understood. The paper discusses a possibility to improve and stabilize the quality of products by permanent process stability control and by positioning these processes in stable parts of technological windows. To find optimal solutions a combinationof carefully selected experiments, analysis of successful production cases and tests in the virtual environments is highly recommended. To the discussion on process stability control some examples from sheet metal and bulk metal forming will be presented.	nld	Elsevier	2007	1.01	Journal of materials processing technology	0.816	0.656
10084123	Load-dependent transition in sliding wear properties of TiCN-WC-Ni cermets	The present investigation aims at evaluating the sliding wear behavior of TiCN-20 wt%Ni cermets, containing varying amounts of WC (5-25 wt%) against 100Cr6 steel at different loads (5, 20, and 50 N). The dominant wear mechanisms were established by using surface topography analysis (Stylus profilometry), scanning electron microscopy, and X-ray diffraction. The steady-state coefficient of friction varies over a wide rangeÈ 0.73-0.27 at different loads for the investigated cermets. The volumetric wear loss of the cermets in general increases with load, while the wear rate varies in the order of 10-7 mm3 (N m)-1. The worn surface characterization reveals that a transition in wear mechanism occurs from abrasion and mild tribo-oxidation at low loads to the formation of a dense tribo-oxide layer, containing oxides of Fe and Ti (essentially Fe9TiO15) at high loads. Efforts have been made to discuss the possible reaction pathways to explain the formation of the tribochemical layer. The addition of WC to TiCN-Ni-based cermets results in increased abrasion at low loads and severe fracture of the tribo-oxide layer at high loads.	usa	American Ceramic Society	2007	1.01	Journal of the American Ceramic Society	1.792	0.62
10086678	An approach to calculate thermodynamic properties of mixtures including Propane, n-Butane, and Isobutane	This paper discusses a mathematical model for computing the thermodynamic properties of propane, n-butane, isobutane, and their mixtures, in the fluid phase using a method based upon statistical chain theory. The constants necessary for computations such as the characteristic temperatures of rotation, electronic state, etc. and the moments of inertia are obtained analytically applying a knowledge of the atomic structure of the molecule. The paper presents a procedure for calculating thermodynamic properties such aspressure, speed of sound, the Joule-Thomson coefficient, compressibility, enthalpy, and thermal expansion coefficient. This paper will discuss, for the first time, the application of statistical chain theory for accurate properties of binary and ternary mixtures including propane, n-butane, and isobutane, in their entire fluid phases. To calculate the thermodynamic properties of Lennard-Jones chains, the Liu-Li-Lu model has been used. The thermodynamic properties of the hydrocarbon mixtures are obtained using the one-fluid theory.	usa	Plenum Press	2005	1.01	International journal of thermophysics	0.940	0.816
